eventID,occurenceID,associatedSequences,basisOfRecord,preparations,organismQuantity,organismQuantityType,identificationRemarks,taxonConceptID,nameAccordingTo,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank
Jaedraas-B,ERS3508483-ASV_000001,,MATERIAL_SAMPLE,DNA extract,13392,DNA sequence reads,SINTAX confidence 1.00 to species level for ITS2 sequence,SH1556760.08FU,http://dx.doi.org/10.15156/BIO/SH1556760.08FU,ASV_000001,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,finlayi,UNRANKED
Jaedraas-B,ERS3508483-ASV_000007,,MATERIAL_SAMPLE,DNA extract,10,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000007,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000008,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000008,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000005,,MATERIAL_SAMPLE,DNA extract,1065,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000005,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000004,,MATERIAL_SAMPLE,DNA extract,886,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000004,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000003,,MATERIAL_SAMPLE,DNA extract,374,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000003,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000010,,MATERIAL_SAMPLE,DNA extract,11,DNA sequence reads,SINTAX confidence 1.00 to order level for ITS2 sequence,,,ASV_000010,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000006,,MATERIAL_SAMPLE,DNA extract,217,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000006,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Piloderma,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000002,,MATERIAL_SAMPLE,DNA extract,540,DNA sequence reads,SINTAX confidence 1.00 to species level for ITS2 sequence,SH1632901.08FU,http://dx.doi.org/10.15156/BIO/SH1632901.08FU,ASV_000002,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,rufus,UNRANKED
Jaedraas-B,ERS3508483-ASV_000009,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 1.00 to order level for ITS2 sequence,,,ASV_000009,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,UNRANKED
