TaxonId;Vetenskapligt namn;Svenskt namn;Svensk förekomst;Typ;Organismgrupp;Kategori;Rödlistekriterium;Skog (S);Jordbrukslandskap (J);Urban miljö (U);Fjäll (F);Våtmark (V);Sötvatten (L);Havsstrand (H);Marin miljö (M);Brackvatten (B)
261452;Abia nitens;;Bofast och reproducerande;Art;Steklar;Kunskapsbrist (DD);;;Viktig;;;;;;;
249011;Abia sericea;väddstekel;Bofast och reproducerande;Art;Steklar;Nära hotad (NT);B2ab(ii,iii,iv);Förekommer;Viktig;;;Förekommer;;;;
102744;Abra prismatica;långsprödmussla;Bofast och reproducerande;Art;Blötdjur;Nära hotad (NT);B1b(iii);;;;;;;;Viktig;
100149;Abraeus granulum;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);Viktig;Förekommer;;;;;;;
100150;Abraeus parvulus;;Bofast och reproducerande;Art;Skalbaggar;Starkt hotad (EN);B2ab(iii);Viktig;Viktig;;;;;;;
2;Absconditella delutula;blek kryptolav;Bofast och reproducerande;Art;Lavar;Sårbar (VU);D1;Förekommer;Förekommer;;;;;;;
100152;Acalles camelus;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);Viktig;Förekommer;;;;;;;
213487;Acalles misellus;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);Viktig;;;;;;;;
100154;Acalles ptinoides;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);;Viktig;;;;;;;
100155;Acanthocinus griseus;mindre timmerman;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);Viktig;;;;Förekommer;;;;
243657;Acanthocnema latipennis;;Bofast och reproducerande;Art;Tvåvingar;Kunskapsbrist (DD);;;;;;Förekommer;Viktig;;;
1961;Acanthophysellum lividocoeruleum;druvskinn;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);C2a(i);Viktig;Förekommer;;;;;;;
1960;Acanthophysium fennicum;grenskålskinn;Ej längre bofast, ej tillfälligt förekommande;Art;Storsvampar;Nationellt utdöd (RE);;Viktig;;;;;;;;
3;Acarospora anomala;träspricklav;Bofast och reproducerande;Art;Lavar;Starkt hotad (EN);D;;Viktig;Förekommer;;;;;;
1765;Acarospora cervina;gyttrad kalkspricklav;Bofast och reproducerande;Art;Lavar;Sårbar (VU);D1;;Viktig;;;;;;;
218621;Acartauchenius scurrilis;nacktofsspindel;Bofast och reproducerande;Art;Spindeldjur;Kunskapsbrist (DD);;;Viktig;;;;;Förekommer;;
100156;Acasis appensata;trolldruvelobmätare;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B2ab(iii);Förekommer;Viktig;;;Förekommer;;Förekommer;;
2192;Acaulon muticum;pygmémossa;Bofast och reproducerande;Art;Mossor;Nära hotad (NT);C2a(i);;Viktig;;;;;;;
100001;Accipiter gentilis;duvhök;Bofast och reproducerande;Art;Fåglar;Nära hotad (NT);A2bc;Viktig;Förekommer;Förekommer;;;;;;
5;Acer campestre;naverlönn;Bofast och reproducerande;Art;Kärlväxter;Akut hotad (CR);D;Förekommer;Viktig;;;;;;;
102924;Acerbia alpina;nordisk igelkottsspinnare;Bofast och reproducerande;Art;Fjärilar;Starkt hotad (EN);B1ab(iii,v)+2ab(iii,v);;;;Viktig;;;;;
100157;Acetropis gimmerthalii;sydlig gräsängsskinnbagge;Bofast och reproducerande;Art;Halvvingar;Sårbar (VU);B1ab(ii,iii)+2ab(ii,iii);;Viktig;;;;;;;
250187;Achalcus bimaculatus;;Bofast och reproducerande;Art;Tvåvingar;Nära hotad (NT);B1ab(ii,iii)+2ab(ii,iii);Förekommer;;;;Viktig;;;;
234580;Achorotile longicornis;;Bofast och reproducerande;Art;Halvvingar;Kunskapsbrist (DD);;;Viktig;;;;;;;
100002;Acipenser oxyrinchus;atlantisk stör;Ej längre bofast, nu endast tillfälligt förekommande;Art;Fiskar;Nationellt utdöd (RE);;;;;;;Viktig;;Viktig;Viktig
214906;Acleris fimbriana;odonvårvecklare;Bofast och reproducerande;Art;Fjärilar;Kunskapsbrist (DD);;Förekommer;;;;Viktig;;;;
100161;Acleris permutana;nyponhöstvecklare;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2ab(i,ii,iii,iv);;Viktig;;;;;;;
100162;Acleris quercinana;brun ekvårvecklare;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B1ab(ii,iii,v)c(iv)+2ab(ii,iii,v)c(iv);Viktig;;;;;;;;
102360;Acleris roscidana;större aspvårvecklare;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2ab(iii);Viktig;;;;;;;;
102361;Acleris schalleriana;olvonvårvecklare;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2ab(ii,iii,iv);Förekommer;Viktig;;;;;;;
100163;Aclypea undata;vågbandad skinnarbagge;Ej längre bofast, ej tillfälligt förekommande;Art;Skalbaggar;Nationellt utdöd (RE);;;Viktig;Viktig;;;;;;
100164;Acmaeops marginatus;kantad kulhalsbock;Bofast och reproducerande;Art;Skalbaggar;Starkt hotad (EN);B2ab(iii);Viktig;;;;;;;;
100165;Acmaeops septentrionis;korthårig kulhalsbock;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);"A2c+3c; B2ab(iii,iv)";Viktig;;;;Förekommer;;;;
