kingdom;taxonRank;scientificName;vernacularName;language
Animalia;species;Ursus arctos;Brunbjörn;sv
Animalia;species;Sicista betulina;Buskmus;sv
Animalia;species;Alopex lagopus;Fjällräv ;sv
Animalia;species;Muscardinus avellanarius;Hasselmus ;sv
Animalia;species;Gulo gulo;Järv ;sv
Animalia;species;Lynx lynx;Lo ;sv
Animalia;species;Ovibos moschatus;Myskoxe;sv
Animalia;species;Phocoena phocoena;Tumlare;sv
Animalia;species;Lutra lutra;Utter;sv
Animalia;species;Canis lupus;Varg;sv
Animalia;species;Barbastella barbastellus;Barbastell;sv
Animalia;species;Myotis bechsteinii;Bechsteins fladdermus ;sv
Animalia;species;Myotis brandtii;Brandts fladdermus;sv
Animalia;species;Myotis dasycneme;Dammfladdermus;sv
Animalia;species;Pipistrellus pygmaeus;Dvärgfladdermus;sv
Animalia;species;Myotis nattereri;Fransfladdermus;sv
Animalia;species;Plecotus austriacus;Grå långörad fladdermus;sv
Animalia;species;Vespertilio murinus;Gråskimlig fladdermus ;sv
Animalia;species;Nyctalus leisleri;Leislers fladdermus;sv
Animalia;species;Plecotus auritus;Långörad fladdermus;sv
Animalia;species;Myotis mystacinus;Mustaschfladdermus;sv
Animalia;species;Eptesicus nilssonii;Nordisk fladdermus;sv
Animalia;species;Pipistrellus pipistrellus;Pipistrell ;sv
Animalia;species;Nyctalus noctula;Stor fladdermus ;sv
Animalia;species;Eptesicus serotinus;Sydfladdermus;sv
Animalia;species;Pipistrellus nathusii;Trollfladdermus ;sv
Animalia;species;Myotis daubentonii;Vattenfladdermus;sv
Animalia;subspecies;Natrix natrix subsp. gotlandica;Gotlandssnok;sv
Animalia;species;Coronella austriaca;Hasselsnok ;sv
Animalia;species;Vipera berus;Huggorm;sv
Animalia;species;Anguis fragilis;Kopparödla;sv
Animalia;species;Lacerta agilis;Sandödla ;sv
Animalia;species;Zootoca vivipara;Skogsödla;sv
Animalia;species;Natrix natrix;Snok;sv
Animalia;species;Bufo viridis;Grönfläckig padda;sv
Animalia;species;Rana lessonae;Gölgroda;sv
Animalia;species;Bombina bombina;Klockgroda;sv
Animalia;species;Rana dalmatina;Långbensgroda;sv
Animalia;species;Pelobates fuscus;Lökgroda;sv
Animalia;species;Hyla arborea;Lövgroda;sv
Animalia;species;Lissotriton vulgaris;Mindre vattensalamander;sv
Animalia;species;Bufo calamita;Stinkpadda;sv
Animalia;species;Triturus cristatus;Större vattensalamander;sv
Animalia;species;Rana temporaria;Vanlig groda;sv
Animalia;species;Bufo bufo;Vanlig padda;sv
Animalia;species;Rana esculenta;Ätlig groda;sv
Animalia;species;Rana arvalis;Åkergroda;sv
Animalia;species;Parnassius apollo;Apollofjäril;sv
Animalia;species;Hypodryas maturna;Asknätfjäril;sv
Animalia;species;Carabus intricatus;Bokskogslöpare;sv
Animalia;species;Dytiscus latissimus;Bred gulbrämad dykare;sv
Animalia;species;Leucorrhina caudalis;Bred kärrtrollslända;sv
Animalia;species;Graphoderus bilineatus;Bred paljettdykare;sv
Animalia;species;Coenonympha hero;Brun gräsfjäril;sv
Animalia;species;Cucujus cinnaberinus;Cinnoberbagge;sv
Animalia;species;Leucorrhina pectoralis;Citronfläckad kärrtrollslända;sv
Animalia;species;Lopinga achine;Dårgräsfjäril;sv
Animalia;species;Lacon querceus;Ekfjällknäppare;sv
Animalia;species;Cardiophorus gramineus;Ekhjärtknäppare;sv
Animalia;species;Lucanus cervus;Ekoxe;sv
Animalia;species;Brachygonus dubius;Eksavknäppare;sv
Animalia;species;Ophiogomphus cecilia;Grön flodtrollslända;sv
Animalia;species;Aeshna viridis;Grön mosaiktrollslända ;sv
Animalia;species;Scolia hirta;Hårig dolkstekel;sv
Animalia;species;Osmoderma eremita;Läderbagge;sv
Animalia;species;Parnassius mnemosyne;Mnemosynefjäril;sv
Animalia;species;Leptura nigripes;Nordlig blombock;sv
Animalia;species;Eresus cinnaberinus;Nyckelpigespindel;sv
Animalia;species;Leucorrhina albifrons;Pudrad kärrtrollslända;sv
Animalia;species;Phryganophilus ruficollis;Rödhalsad brunbagge;sv
Animalia;species;Anisus vorticulus;Sirlig skivsnäcka;sv
Animalia;species;Lacon lepidopterus;Skimlig fjällknäppare;sv
Animalia;species;Pytho kolwensis;Större barkplattbagge;sv
Animalia;species;Cerambyx cerdo;Större ekbock;sv
Animalia;species;Maculinea arion;Svartfläckig blåvinge;sv
Animalia;species;Unio crassus;Tjockskalig målarmussla;sv
Animalia;species;Lycaena helle;Violett guldvinge;sv
Animalia;species;Euphydryas aurinia;Väddnätfjäril;sv
