kingdom;taxonRank;scientificName;vernacularName;language
Plantae;species;Dicranum viride;Barkkvastmossa;sv
Plantae;species;Orthotrichum rogeri;Gotländsk hättemossa;sv
Plantae;species;Buxbaumia viridis;Grön sköldmossa;sv
Plantae;species;Dichelyma capillaceum;Hårklomossa ;sv
Plantae;species;Hamatocaulis vernicosus;Käppkrokmossa;sv
Plantae;species;Meesia longiseta;Långskaftad svanmossa;sv
Plantae;species;Scapania carinthiaca;Mikroskapania;sv
Plantae;species;Cynodontium suecicum;Nordisk klipptuss;sv
Plantae;species;Pyramidula tetragona;Pyramidmossa;sv
Plantae;species;Hookeria lucens;Skirmossa;sv
Plantae;species;Fissidens julianus;Vattenfickmossa;sv
Plantae;species;Cephalozia macounii;Vedtrådmossa;sv
Fungi;species;Heterodermia speciosa;Elfenbenslav;sv
Fungi;species;Flavoparmelia caperata;Getlav;sv
Fungi;species;Lobaria hallii;Hårig skrovellav;sv
Fungi;species;Cetrelia olivetorum;Jättesköldlav;sv
Fungi;species;Usnea longissima;Långskägg;sv
Fungi;species;Sticta fuliginosa;Stiftärrlav;sv
Fungi;species;Letharia vulpina;Varglav;sv
Fungi;species;Sticta sylvatica;Ärrlav;sv
Fungi;species;Sarcosoma globosum;Bombmurkla;sv
Fungi;species;Hericium erinaceus;Igelkottstaggsvamp;sv
Fungi;species;Haploporus odorus;Doftticka;sv
Fungi;species;Aurantioporus croceus;Saffransticka;sv
Fungi;species;Pycnoporellus alboluteus;Storporig brandticka;sv
Bacteria;species;Nostoc zetterstedtii;Sjöhjortron;sv
